name,id
"Robillard, Yves",https://www.ourcommons.ca/Members/en/yves-robillard(88617)
"Rodriguez, Pablo",https://www.ourcommons.ca/Members/en/pablo-rodriguez(25451)
"Rogers, Churence",https://www.ourcommons.ca/Members/en/churence-rogers(98744)
"Romanado, Sherry",https://www.ourcommons.ca/Members/en/sherry-romanado(88521)
"Rood, Lianne",https://www.ourcommons.ca/Members/en/lianne-rood(105210)
"Rota, Anthony",https://www.ourcommons.ca/Members/en/anthony-rota(25452)
"Ruff, Alex",https://www.ourcommons.ca/Members/en/alex-ruff(105070)
"Sahota, Ruby",https://www.ourcommons.ca/Members/en/ruby-sahota(88698)
"Sajjan, Harjit S.",https://www.ourcommons.ca/Members/en/harjit-s-sajjan(89497)
"Saks, Ya'ara",https://www.ourcommons.ca/Members/en/yaara-saks(107099)
"Samson, Darrell",https://www.ourcommons.ca/Members/en/darrell-samson(88333)
"Sarai, Randeep",https://www.ourcommons.ca/Members/en/randeep-sarai(89339)
"Savard-Tremblay, Simon-Pierre",https://www.ourcommons.ca/Members/en/simon-pierre-savard-tremblay(104944)
"Scarpaleggia, Francis",https://www.ourcommons.ca/Members/en/francis-scarpaleggia(25453)
"Scheer, Andrew",https://www.ourcommons.ca/Members/en/andrew-scheer(25454)
"Schiefke, Peter",https://www.ourcommons.ca/Members/en/peter-schiefke(88649)
"Schmale, Jamie",https://www.ourcommons.ca/Members/en/jamie-schmale(88770)
"Seeback, Kyle",https://www.ourcommons.ca/Members/en/kyle-seeback(58841)
"Serré, Marc",https://www.ourcommons.ca/Members/en/marc-g-serre(88874)
"Sgro, Judy A.",[]
"Shanahan, Brenda",https://www.ourcommons.ca/Members/en/brenda-shanahan(88442)
"Sheehan, Terry",https://www.ourcommons.ca/Members/en/terry-sheehan(88944)
"Shields, Martin",https://www.ourcommons.ca/Members/en/martin-shields(89109)
"Shipley, Doug",https://www.ourcommons.ca/Members/en/doug-shipley(105031)
"Sidhu, Maninder",https://www.ourcommons.ca/Members/en/maninder-sidhu(105045)
"Sidhu, Sonia",https://www.ourcommons.ca/Members/en/sonia-sidhu(88703)
"Simard, Mario",https://www.ourcommons.ca/Members/en/mario-simard(104773)
"Sinclair-Desgagné, Nathalie",https://www.ourcommons.ca/Members/en/nathalie-sinclair-desgagne(110300)
"Singh, Jagmeet",https://www.ourcommons.ca/Members/en/jagmeet-singh(71588)
"Small, Clifford",https://www.ourcommons.ca/Members/en/clifford-small(109867)
"Sorbara, Francesco",https://www.ourcommons.ca/Members/en/francesco-sorbara(88999)
"Soroka, Gerald",https://www.ourcommons.ca/Members/en/gerald-soroka(105751)
"Sousa, Charles",https://www.ourcommons.ca/Members/en/charles-sousa(114349)
"Steinley, Warren",https://www.ourcommons.ca/Members/en/warren-steinley(105581)
"Ste-Marie, Gabriel",https://www.ourcommons.ca/Members/en/gabriel-ste-marie(88485)
"Stewart, Jake",https://www.ourcommons.ca/Members/en/jake-stewart(109951)
"St-Onge, Pascale",https://www.ourcommons.ca/Members/en/pascale-st-onge(110044)
"Strahl, Mark",https://www.ourcommons.ca/Members/en/mark-strahl(71986)
"Stubbs, Shannon",https://www.ourcommons.ca/Members/en/shannon-stubbs(89198)
"Sudds, Jenna",https://www.ourcommons.ca/Members/en/jenna-sudds(110459)
"Tassi, Filomena",https://www.ourcommons.ca/Members/en/filomena-tassi(88784)
"Taylor Roy, Leah",https://www.ourcommons.ca/Members/en/leah-taylor-roy(105024)
"Thériault, Luc",https://www.ourcommons.ca/Members/en/luc-theriault(88552)
"Therrien, Alain",https://www.ourcommons.ca/Members/en/alain-therrien(104783)
"Thomas, Rachael",https://www.ourcommons.ca/Members/en/rachael-thomas(89200)
"Thompson, Joanne",https://www.ourcommons.ca/Members/en/joanne-thompson(109877)
"Tochor, Corey",https://www.ourcommons.ca/Members/en/corey-tochor(84882)
"Tolmie, Fraser",https://www.ourcommons.ca/Members/en/fraser-tolmie(110800)
"Trudeau, Justin",https://www.ourcommons.ca/Members/en/justin-trudeau(58733)
"Trudel, Denis",https://www.ourcommons.ca/Members/en/denis-trudel(88530)
"Turnbull, Ryan",https://www.ourcommons.ca/Members/en/ryan-turnbull(105480)
"Uppal, Tim",https://www.ourcommons.ca/Members/en/tim-uppal(30645)
"Valdez, Rechie",https://www.ourcommons.ca/Members/en/rechie-valdez(110538)
"Van Bynen, Tony",https://www.ourcommons.ca/Members/en/tony-van-bynen(105270)
"van Koeverden, Adam",https://www.ourcommons.ca/Members/en/adam-van-koeverden(105242)
"Van Popta, Tako",https://www.ourcommons.ca/Members/en/tako-van-popta(105811)
"Vandal, Dan",https://www.ourcommons.ca/Members/en/dan-vandal(89045)
"Vandenbeld, Anita",https://www.ourcommons.ca/Members/en/anita-vandenbeld(71738)
"Vecchio, Karen",https://www.ourcommons.ca/Members/en/karen-vecchio(88742)
"Vidal, Gary",https://www.ourcommons.ca/Members/en/gary-vidal(105562)
"Vien, Dominique",https://www.ourcommons.ca/Members/en/dominique-vien(110009)
"Viersen, Arnold",https://www.ourcommons.ca/Members/en/arnold-viersen(89211)
"Vignola, Julie",https://www.ourcommons.ca/Members/en/julie-vignola(104656)
"Villemure, René",https://www.ourcommons.ca/Members/en/rene-villemure(110306)
"Virani, Arif",https://www.ourcommons.ca/Members/en/arif-virani(88910)
"Vis, Brad",https://www.ourcommons.ca/Members/en/brad-vis(89289)
"Vuong, Kevin",https://www.ourcommons.ca/Members/en/kevin-vuong(110654)
"Wagantall, Cathay",https://www.ourcommons.ca/Members/en/cathay-wagantall(89098)
"Warkentin, Chris",https://www.ourcommons.ca/Members/en/chris-warkentin(35886)
"Waugh, Kevin",https://www.ourcommons.ca/Members/en/kevin-waugh(89084)
"Webber, Len",https://www.ourcommons.ca/Members/en/len-webber(89116)
"Weiler, Patrick",https://www.ourcommons.ca/Members/en/patrick-weiler(105918)
"Wilkinson, Jonathan",https://www.ourcommons.ca/Members/en/jonathan-wilkinson(89300)
"Williams, Ryan",https://www.ourcommons.ca/Members/en/ryan-williams(110330)
"Williamson, John",https://www.ourcommons.ca/Members/en/john-williamson(71323)
"Yip, Jean",https://www.ourcommons.ca/Members/en/jean-yip(98747)
